tiempo,prediccion,fase_aplicada,Bolivar_llegada_Cordero_cola,Bolivar_llegada_Cordero_espera,LuisCordero_entre_Bolivar_Sucre_cola,LuisCordero_entre_Bolivar_Sucre_espera
234.0,1,1,0,0.0,8,17.0
235.0,1,1,0,0.0,8,17.8
236.0,1,1,0,0.0,9,18.7
237.0,1,1,0,0.0,9,19.6
238.0,1,1,0,0.0,9,20.5
239.0,1,1,0,0.0,10,21.5
240.0,1,1,0,0.0,10,22.5
241.0,1,1,1,0.0,10,23.5
242.0,1,1,0,0.0,10,24.5
243.0,1,1,0,0.0,10,25.5
244.0,1,1,1,0.0,10,26.5
245.0,1,1,0,0.0,10,27.5
246.0,1,1,0,0.0,10,28.5
247.0,1,1,1,0.0,10,29.5
248.0,1,1,0,0.0,10,30.5
249.0,1,1,0,0.0,10,31.5
250.0,1,1,1,0.0,10,32.5
251.0,1,1,0,0.0,10,33.5
252.0,1,1,1,0.0,10,34.5
253.0,1,1,0,0.0,10,35.5
254.0,1,1,0,0.0,10,36.5
255.0,1,1,1,0.0,10,37.5
256.0,1,1,0,0.0,10,35.0
257.0,1,1,1,0.0,10,39.5
258.0,1,1,0,0.0,10,36.81818181818182
259.0,1,1,0,0.0,10,41.5
260.0,1,1,1,0.0,10,42.5
261.0,1,1,0,0.0,10,43.5
262.0,1,1,0,0.0,10,44.5
263.0,1,1,0,0.0,8,41.5
264.0,1,1,2,0.14285714285714285,6,27.75
265.0,1,1,1,0.2857142857142857,4,17.25
266.0,1,1,2,0.375,3,16.5
267.0,1,1,1,0.5,2,8.714285714285714
268.0,1,1,1,0.625,1,5.0
269.0,0,1,2,0.875,0,0.0
270.0,0,0,3,1.25,0,0.0
271.0,0,0,3,1.625,0,0.0
272.0,0,0,4,2.125,0,0.0
273.0,0,0,5,2.75,0,0.0
274.0,1,0,6,3.5,0,0.0
275.0,0,0,6,4.25,0,0.0
276.0,0,0,6,5.0,0,0.0
277.0,0,0,7,5.875,0,0.0
278.0,0,0,8,6.875,0,0.0
279.0,0,0,8,7.875,0,0.0
280.0,0,0,8,8.875,0,0.0
281.0,0,0,8,9.875,0,0.0
282.0,0,0,8,10.875,0,0.0
283.0,0,0,8,11.875,0,0.0
284.0,0,0,8,12.875,0,0.0
285.0,0,0,8,13.875,0,0.0
286.0,0,0,8,14.875,0,0.0
287.0,0,0,8,15.875,0,0.0
288.0,0,0,8,16.875,0,0.0
289.0,0,0,9,15.88888888888889,0,0.0
290.0,0,0,8,16.77777777777778,0,0.0
291.0,0,0,9,15.9,0,0.0
292.0,0,0,8,16.7,0,0.0
293.0,0,0,8,17.5,0,0.0
294.0,0,0,9,16.636363636363637,0,0.0
295.0,0,0,8,17.363636363636363,0,0.0
296.0,0,0,8,18.09090909090909,0,0.0
297.0,0,0,8,18.818181818181817,0,0.0
298.0,0,0,8,19.545454545454547,0,0.0
299.0,0,0,8,20.272727272727273,0,0.0
300.0,0,0,9,21.09090909090909,0,0.0
301.0,0,0,10,20.083333333333332,0,0.0
302.0,0,0,9,20.833333333333332,0,0.0
303.0,0,0,10,21.666666666666668,0,0.0
304.0,0,0,11,22.583333333333332,0,0.0
305.0,0,0,11,23.5,0,0.0
306.0,0,0,11,24.416666666666668,0,0.0
307.0,0,0,11,25.333333333333332,0,0.0
308.0,0,0,11,26.25,0,0.0
309.0,0,0,12,27.25,0,0.0
310.0,0,0,12,28.25,0,0.0
311.0,0,0,12,29.25,0,0.0
312.0,0,0,12,30.25,0,0.0
313.0,0,0,12,31.25,0,0.0
314.0,0,0,12,32.25,0,0.0
315.0,0,0,12,33.25,0,0.0
316.0,0,0,12,34.25,0,0.0
317.0,0,0,12,35.25,0,0.0
